date,APE peaks,days_since_last,previous_APE_peak,APE_peak_difference,mouse
20200213,0.8788693834673967,3.0,1.54471162187203,-0.6658422384046333,SNL_photo16
20200218,1.183151372067966,5.0,0.8788693834673967,0.3042819886005693,SNL_photo16
20200220,1.1236309430961218,2.0,1.183151372067966,-0.059520428971844286,SNL_photo16
20200224,0.9523612225087187,4.0,1.1236309430961218,-0.17126972058740308,SNL_photo16
20200227,0.9370208438121593,3.0,0.9523612225087187,-0.015340378696559354,SNL_photo16
20200303,0.7869096774318007,5.0,0.9370208438121593,-0.1501111663803586,SNL_photo16
20200305,1.4211509104956976,2.0,0.7869096774318007,0.6342412330638969,SNL_photo16
20200307,1.1262973535690677,2.0,1.4211509104956976,-0.29485355692662996,SNL_photo16
20200206,1.7848511186396057,2.0,1.887036736966397,-0.1021856183267913,SNL_photo17
20200208,1.3448597519428662,2.0,1.7848511186396057,-0.43999136669673944,SNL_photo17
20200210,1.2524557876122084,2.0,1.3448597519428662,-0.09240396433065778,SNL_photo17
20200212,1.167419070265856,2.0,1.2524557876122084,-0.08503671734635243,SNL_photo17
20200214,0.9960791214871707,2.0,1.167419070265856,-0.1713399487786853,SNL_photo17
20200218,1.1375644218613759,4.0,0.9960791214871707,0.14148530037420515,SNL_photo17
20200221,1.2254012676881658,3.0,1.1375644218613759,0.08783684582678997,SNL_photo17
20200224,0.6263013284512551,3.0,1.2254012676881658,-0.5990999392369107,SNL_photo17
20200226,1.5032358801061498,2.0,0.6263013284512551,0.8769345516548948,SNL_photo17
20200228,0.8011622617920092,2.0,1.5032358801061498,-0.7020736183141406,SNL_photo17
20200303,0.7098546461736222,4.0,0.8011622617920092,-0.09130761561838707,SNL_photo17
20200305,0.577977142905469,2.0,0.7098546461736222,-0.13187750326815317,SNL_photo17
20200307,0.5642937725262467,2.0,0.577977142905469,-0.013683370379222293,SNL_photo17
20200310,0.3359530988638318,3.0,0.5642937725262467,-0.2283406736624149,SNL_photo17
20200226,1.4457384446950254,3.0,2.303144078344788,-0.8574056336497626,SNL_photo18
20200228,1.6398167224050273,2.0,1.4457384446950254,0.19407827771000186,SNL_photo18
20200229,1.3285677569038918,1.0,1.6398167224050273,-0.31124896550113546,SNL_photo18
20200303,1.4165278147572689,3.0,1.3285677569038918,0.08796005785337702,SNL_photo18
20200305,1.4125606867626275,2.0,1.4165278147572689,-0.003967127994641384,SNL_photo18
20200307,1.0290480492498797,2.0,1.4125606867626275,-0.3835126375127478,SNL_photo18
20200310,1.2268042028932036,3.0,1.0290480492498797,0.19775615364332388,SNL_photo18
20200312,1.0734698498783486,2.0,1.2268042028932036,-0.15333435301485498,SNL_photo18
20200313,1.1180607142952286,1.0,1.0734698498783486,0.04459086441687998,SNL_photo18
20200316,1.1441546816013952,3.0,1.1180607142952286,0.026093967306166643,SNL_photo18
20200808,1.8481800854477213,2.0,1.5228170129144958,0.3253630725332255,SNL_photo21
20200810,1.407886063587297,2.0,1.8481800854477213,-0.4402940218604243,SNL_photo21
20200812,1.322440673081711,2.0,1.407886063587297,-0.08544539050558586,SNL_photo21
20200814,1.3059571004814183,2.0,1.322440673081711,-0.016483572600292762,SNL_photo21
20200816,0.971866425939021,2.0,1.3059571004814183,-0.3340906745423974,SNL_photo21
20200818,1.0311359209084512,2.0,0.971866425939021,0.059269494969430236,SNL_photo21
20200820,1.05744077001125,2.0,1.0311359209084512,0.026304849102798844,SNL_photo21
20200822,1.153753521332458,2.0,1.05744077001125,0.09631275132120787,SNL_photo21
20200824,0.8945013521541396,2.0,1.153753521332458,-0.2592521691783183,SNL_photo21
20200810,1.6409309564613557,2.0,1.5315409216812366,0.1093900347801191,SNL_photo22
20200812,1.4471726299189422,2.0,1.6409309564613557,-0.19375832654241343,SNL_photo22
20200814,1.2219597176644252,2.0,1.4471726299189422,-0.225212912254517,SNL_photo22
20200816,1.3786780171730542,2.0,1.2219597176644252,0.15671829950862892,SNL_photo22
20200818,1.2204419099490853,2.0,1.3786780171730542,-0.15823610722396886,SNL_photo22
20200820,1.040572709474383,2.0,1.2204419099490853,-0.17986920047470223,SNL_photo22
20200822,1.0395116561328166,2.0,1.040572709474383,-0.0010610533415664758,SNL_photo22
20200824,1.166852816405147,2.0,1.0395116561328166,0.12734116027233044,SNL_photo22
20200826,1.5633972858451015,2.0,1.166852816405147,0.3965444694399545,SNL_photo22
20200810,1.8150245363199928,2.0,1.7671445914978465,0.0478799448221463,SNL_photo26
20200812,1.9012965499390477,2.0,1.8150245363199928,0.0862720136190549,SNL_photo26
20200814,1.5709462304441564,2.0,1.9012965499390477,-0.33035031949489135,SNL_photo26
20200816,1.3326896762740175,2.0,1.5709462304441564,-0.2382565541701389,SNL_photo26
20200818,1.5885806156298792,2.0,1.3326896762740175,0.2558909393558617,SNL_photo26
20200820,0.9487360145329459,2.0,1.5885806156298792,-0.6398446010969333,SNL_photo26
20200822,0.9555340788786388,2.0,0.9487360145329459,0.006798064345692967,SNL_photo26
20200824,1.2661978266491805,2.0,0.9555340788786388,0.3106637477705416,SNL_photo26
20200826,1.507279982844912,2.0,1.2661978266491805,0.24108215619573148,SNL_photo26
